city,type,county,state,lat,lng,uv_index,aqi,category,dominant_pollutant,date,temperature,cloud,pressure,wind_speed,rain
Berkeley,City,Alameda,california,37.8716,-122.273,1.97,62,Moderate air quality,pm25,12/1/2018 6:06,58.19,1,1020,2.1,1.02
Beverly Hills,City,Los Angeles,california,34.0736,-118.4,2.98,59,Moderate air quality,pm25,12/1/2018 6:06,63.34,20,1015,3.1,0
Big Bear Lake,City,San Bernardino,california,34.2439,-116.911,3.27,41,Good air quality,o3,12/1/2018 6:06,59.74,40,1016,2.1,0
Biggs,City,Butte,california,39.4124,-121.713,1.74,52,Moderate air quality,pm25,12/1/2018 6:06,54.18,1,1017,3.1,0
Bishop,City,Inyo,california,37.3614,-118.4,2.49,41,Good air quality,pm25,12/1/2018 6:06,32,1,1016,1.5,0
Blue Lake,City,Humboldt,california,40.8829,-123.984,1.48,22,Good air quality,o3,12/1/2018 6:06,48.04,75,1017,4.6,0
Blythe,City,Riverside,california,33.6178,-114.588,3.16,56,Moderate air quality,pm25,12/1/2018 6:06,64.12,8,1000.21,1.58,0
Bradbury,City,Los Angeles,california,34.1469,-117.971,3.02,45,Good air quality,pm25,12/1/2018 6:06,62.69,1,1016,1.46,0
Brawley,City,Imperial,california,32.9787,-115.53,3.39,89,Moderate air quality,pm25,12/1/2018 6:06,69.58,1,1014,7.7,0
Brea,City,Orange,california,33.9165,-117.9,3.04,59,Moderate air quality,pm25,12/1/2018 6:06,62.92,1,1015,1.46,0
Brentwood,City,Contra Costa,california,37.9319,-121.696,2.01,60,Moderate air quality,pm25,12/1/2018 6:06,57.56,1,1019,3.1,1.13
Brisbane,City,San Mateo,california,37.6808,-122.4,2.04,34,Good air quality,pm25,12/1/2018 6:06,57.85,20,1020,3.1,1.02
Buellton,City,Santa Barbara,california,34.6136,-120.193,2.87,48,Good air quality,pm25,12/1/2018 6:06,61.29,1,1018,4.1,0
Buena Park,City,Orange,california,33.8674,-117.998,3.04,65,Moderate air quality,pm25,12/1/2018 6:06,62.92,1,1015,5.33,0
Burbank,City,Los Angeles,california,34.1808,-118.309,2.98,73,Moderate air quality,pm25,12/1/2018 6:06,62.74,1,1015,2.1,0
Burlingame,City,San Mateo,california,37.5779,-122.348,2.04,57,Moderate air quality,pm25,12/1/2018 6:06,57.85,1,1020,2.1,1.02
Calabasas,City,Los Angeles,california,34.1367,-118.661,2.98,39,Good air quality,pm25,12/1/2018 6:06,63.41,1,1015,2.1,0
Calexico,City,Imperial,california,32.6789,-115.499,3.48,105,Unhealthy for sensitive groups air quality,pm25,12/1/2018 6:06,69.64,1,1014,7.7,0
California City,City,Kern,california,35.1258,-117.986,2.86,38,Good air quality,o3,12/1/2018 6:06,55.33,1,1014,11.8,0
Calimesa,City,Riverside,california,34.0039,-117.062,3.1,66,Moderate air quality,pm25,12/1/2018 6:06,59.79,1,1016,0.71,0
Calipatria,City,Imperial,california,33.1256,-115.514,3.28,89,Moderate air quality,pm25,12/1/2018 6:06,69.58,1,1014,7.7,0
Calistoga,City,Napa,california,38.5788,-122.58,1.86,51,Moderate air quality,pm25,12/1/2018 6:06,58.69,1,1019,1.01,0
Camarillo,City,Ventura,california,34.2164,-119.038,2.96,59,Moderate air quality,pm25,12/1/2018 6:06,62.96,40,1016,3.6,0
Campbell,City,Santa Clara,california,37.2872,-121.95,2.12,56,Moderate air quality,pm25,12/1/2018 6:06,56.46,1,1020,2.1,0.92
Canyon Lake,City,Riverside,california,33.685,-117.273,3.19,34,Good air quality,o3,12/1/2018 6:06,61.9,1,1016,0.91,0
Capitola,City,Santa Cruz,california,36.9752,-121.953,2.23,63,Moderate air quality,pm25,12/1/2018 6:06,54.91,1,1020,2.1,0.89
Carlsbad,City,San Diego,california,33.1581,-117.351,3.32,59,Moderate air quality,pm25,12/1/2018 6:06,63.27,1,1016,5.18,0
Carmel-by-the-Sea,City,Monterey,california,36.5552,-121.923,2.31,49,Good air quality,pm25,12/1/2018 6:06,54.23,1,1020,4.1,0.38
Carpinteria,City,Santa Barbara,california,34.3989,-119.518,2.92,35,Good air quality,o3,12/1/2018 6:06,63.61,1,1018,4.1,0
Carson,City,Los Angeles,california,33.8317,-118.282,3.05,56,Moderate air quality,pm25,12/1/2018 6:06,63.25,1,1015,2.6,0
Cathedral City,City,Riverside,california,33.7805,-116.467,3.1,46,Good air quality,pm25,12/1/2018 6:06,62.19,1,1016,1.11,0
Ceres,City,Stanislaus,california,37.5949,-120.958,2.11,70,Moderate air quality,pm25,12/1/2018 6:06,52.29,1,1019,1.5,2.67
Cerritos,City,Los Angeles,california,33.8583,-118.065,3.05,56,Moderate air quality,pm25,12/1/2018 6:06,63.25,20,1015,5.33,0
Chico,City,Butte,california,39.7285,-121.837,1.7,53,Moderate air quality,pm25,12/1/2018 6:06,55.94,20,1018,2.6,0
Chino,City,San Bernardino,california,34.0122,-117.689,3.06,58,Moderate air quality,pm25,12/1/2018 6:06,62.96,1,1016,2.1,0
Chino Hills,City,San Bernardino,california,33.9898,-117.733,3.08,52,Moderate air quality,pm25,12/1/2018 6:06,62.94,1,1016,2.1,0
Chowchilla,City,Madera,california,37.123,-120.26,2.27,64,Moderate air quality,pm25,12/1/2018 6:06,51.33,1,1018,2.36,0
Chula Vista,City,San Diego,california,32.6401,-117.084,3.47,85,Moderate air quality,pm25,12/1/2018 6:06,63.48,40,1016,2.6,0
Citrus Heights,City,Sacramento,california,38.7071,-121.281,1.87,44,Good air quality,pm25,12/1/2018 6:06,52.93,1,1018,3.6,0
Claremont,City,Los Angeles,california,34.0967,-117.72,3.06,62,Moderate air quality,pm25,12/1/2018 6:06,62.94,1,1016,0.53,0
Clayton,City,Contra Costa,california,37.941,-121.936,2.02,40,Good air quality,pm25,12/1/2018 6:06,57.85,1,1020,2.1,1.02
Clearlake,City,Lake,california,38.9582,-122.626,1.83,33,Good air quality,pm25,12/1/2018 6:06,50,90,1018,1.5,0.25
Cloverdale,City,Sonoma,california,38.8055,-123.017,1.79,53,Moderate air quality,pm25,12/1/2018 6:06,50,90,1018,1.5,0.25
Clovis,City,Fresno,california,36.8252,-119.703,2.39,68,Moderate air quality,pm25,12/1/2018 6:06,53.17,1,1018,3.91,0
Coachella,City,Riverside,california,33.6803,-116.174,3.13,38,Good air quality,o3,12/1/2018 6:06,63.01,40,1014,3.6,0
Coalinga,City,Fresno,california,36.1397,-120.36,2.54,55,Moderate air quality,pm25,12/1/2018 6:06,55.29,1,1019,4.1,0
Colfax,City,Placer,california,39.1007,-120.953,1.89,39,Good air quality,pm25,12/1/2018 6:06,51.78,1,1017,3.1,0
Colma,Town,San Mateo,california,37.6769,-122.46,2.04,58,Moderate air quality,pm25,12/1/2018 6:06,57.85,20,1020,3.1,1.02
Colton,City,San Bernardino,california,34.0739,-117.314,3.03,70,Moderate air quality,pm25,12/1/2018 6:06,61.41,1,1016,0.53,0
Colusa,City,Colusa,california,39.2143,-122.009,1.76,66,Moderate air quality,pm25,12/1/2018 6:06,57.29,1,1018,3.6,0
Commerce,City,Los Angeles,california,34.0006,-118.16,3,68,Moderate air quality,pm25,12/1/2018 6:06,63.64,20,1015,1.46,0
Compton,City,Los Angeles,california,33.8958,-118.22,3.05,68,Moderate air quality,pm25,12/1/2018 6:06,63.25,1,1015,2.6,0
Concord,City,Contra Costa,california,37.978,-122.031,2,59,Moderate air quality,pm25,12/1/2018 6:06,58.26,20,1020,3.1,1.02
Corcoran,City,Kings,california,36.098,-119.56,2.55,101,Unhealthy for sensitive groups air quality,pm25,12/1/2018 6:06,54.37,90,1019,2.11,0
Corning,City,Tehama,california,39.9277,-122.179,1.66,39,Good air quality,pm25,12/1/2018 6:06,55.36,90,1017,1.5,0
Corona,City,Riverside,california,33.8753,-117.566,3.08,63,Moderate air quality,pm25,12/1/2018 6:06,62.55,1,1016,0.83,0
Coronado,City,San Diego,california,32.6859,-117.183,3.47,75,Moderate air quality,pm25,12/1/2018 6:06,63.34,40,1016,2.6,0
Corte Madera,Town,Marin,california,37.9255,-122.527,1.96,42,Good air quality,pm25,12/1/2018 6:06,58.35,20,1020,3.1,0.44
Costa Mesa,City,Orange,california,33.6412,-117.919,3.12,59,Moderate air quality,pm25,12/1/2018 6:06,62.85,20,1015,2.1,0
Cotati,City,Sonoma,california,38.3293,-122.71,1.88,50,Good air quality,pm25,12/1/2018 6:06,58.82,1,1019,4.26,0
Covina,City,Los Angeles,california,34.09,-117.89,3.02,68,Moderate air quality,pm25,12/1/2018 6:06,62.92,1,1016,0.53,0
Crescent City,City,Del Norte,california,41.7557,-124.203,1.3,35,Good air quality,o3,12/1/2018 6:06,49.42,1,1015,3.1,0
Cudahy,City,Los Angeles,california,33.9606,-118.185,3.05,63,Moderate air quality,pm25,12/1/2018 6:06,63.25,1,1015,2.6,0
Culver City,City,Los Angeles,california,34.0211,-118.396,2.98,68,Moderate air quality,pm25,12/1/2018 6:06,63.34,20,1015,3.1,0
Cupertino,City,Santa Clara,california,37.323,-122.032,2.12,56,Moderate air quality,pm25,12/1/2018 6:06,56.7,20,1020,3.1,0.92
Cypress,City,Orange,california,33.8169,-118.037,3.05,53,Moderate air quality,pm25,12/1/2018 6:06,63.25,20,1015,5.33,0
Daly City,City,San Mateo,california,37.6879,-122.47,2.04,62,Moderate air quality,pm25,12/1/2018 6:06,57.85,20,1020,3.1,1.02
Dana Point,City,Orange,california,33.4672,-117.698,3.2,59,Moderate air quality,pm25,12/1/2018 6:06,62.49,1,1016,0.83,0
Danville,Town,Contra Costa,california,37.8216,-122,2.02,54,Moderate air quality,pm25,12/1/2018 6:06,57.9,1,1020,2.1,1.02
Davis,City,Yolo,california,38.5449,-121.741,1.86,75,Moderate air quality,pm25,12/1/2018 6:06,57.34,1,1019,2.1,0
Del Mar,City,San Diego,california,32.9595,-117.265,3.42,51,Moderate air quality,pm25,12/1/2018 6:06,62.96,40,1016,2.6,0
Del Rey Oaks,City,Monterey,california,36.5933,-121.835,2.31,25,Good air quality,pm25,12/1/2018 6:06,54.23,1,1020,4.1,0.38
Delano,City,Kern,california,35.7688,-119.247,2.62,91,Moderate air quality,pm25,12/1/2018 6:06,55.06,75,1019,2.11,0
Desert Hot Springs,City,Riverside,california,33.9611,-116.502,3.17,52,Moderate air quality,pm25,12/1/2018 6:06,60.08,1,1017,2.6,0
Diamond Bar,City,Los Angeles,california,34.0286,-117.81,3.02,68,Moderate air quality,pm25,12/1/2018 6:06,62.94,1,1016,0.53,0
Dinuba,City,Tulare,california,36.5433,-119.387,2.46,85,Moderate air quality,pm25,12/1/2018 6:06,53.44,1,1018,1.91,0
Dixon,City,Solano,california,38.4455,-121.823,1.89,71,Moderate air quality,pm25,12/1/2018 6:06,57.16,1,1019,2.1,0
Dorris,City,Siskiyou,california,41.9674,-121.918,1.41,51,Moderate air quality,pm25,12/1/2018 6:06,40.48,75,1011,4.6,0
Dos Palos,City,Merced,california,36.9861,-120.627,2.3,61,Moderate air quality,pm25,12/1/2018 6:06,51.28,1,1019,2.1,0
Downey,City,Los Angeles,california,33.9401,-118.133,3.05,63,Moderate air quality,pm25,12/1/2018 6:06,63.25,20,1015,1.46,0
Duarte,City,Los Angeles,california,34.1395,-117.977,3.02,64,Moderate air quality,pm25,12/1/2018 6:06,63.27,1,1016,1.46,0
Dublin,City,Alameda,california,37.7022,-121.936,2.07,52,Moderate air quality,pm25,12/1/2018 6:06,57.72,1,1020,2.1,1.02
Dunsmuir,City,Siskiyou,california,41.2082,-122.272,1.52,33,Good air quality,pm25,12/1/2018 6:06,42.39,90,1013,2.6,0
East Palo Alto,City,San Mateo,california,37.4688,-122.141,2.12,59,Moderate air quality,pm25,12/1/2018 6:06,56.64,1,1020,2.1,0.92
Eastvale,City,Riverside,california,33.9525,-117.585,3.08,54,Moderate air quality,pm25,12/1/2018 6:06,62.64,1,1016,0.53,0
El Cajon,City,San Diego,california,32.7948,-116.963,3.46,69,Moderate air quality,pm25,12/1/2018 6:06,63.28,40,1016,2.6,0
El Centro,City,Imperial,california,32.792,-115.563,3.39,63,Moderate air quality,pm25,12/1/2018 6:06,69.6,1,1013,7.2,0
El Cerrito,City,Contra Costa,california,37.9161,-122.311,1.97,60,Moderate air quality,pm25,12/1/2018 6:06,58.19,1,1020,2.1,1.02
El Monte,City,Los Angeles,california,34.0686,-118.028,3,69,Moderate air quality,pm25,12/1/2018 6:06,63.27,1,1015,1.46,0
El Segundo,City,Los Angeles,california,33.9192,-118.416,3.05,59,Moderate air quality,pm25,12/1/2018 6:06,63.34,20,1015,3.1,0
Elk Grove,City,Sacramento,california,38.4088,-121.372,1.91,64,Moderate air quality,pm25,12/1/2018 6:06,54.34,1,1019,2.1,1.02
Emeryville,City,Alameda,california,37.8313,-122.285,1.97,60,Moderate air quality,pm25,12/1/2018 6:06,58.1,20,1020,3.1,1.02
Encinitas,City,San Diego,california,33.037,-117.292,3.32,58,Moderate air quality,pm25,12/1/2018 6:06,62.96,40,1016,2.6,0
Escalon,City,San Joaquin,california,37.7974,-120.997,2.05,72,Moderate air quality,pm25,12/1/2018 6:06,51.46,1,1019,1.5,2.42
Escondido,City,San Diego,california,33.1192,-117.086,3.33,62,Moderate air quality,pm25,12/1/2018 6:06,62.96,40,1016,2.6,0
Etna,City,Siskiyou,california,41.4568,-122.895,1.47,42,Good air quality,pm25,12/1/2018 6:06,42.26,90,1013,2.6,0
Eureka,City,Humboldt,california,40.8021,-124.164,1.46,43,Good air quality,pm25,12/1/2018 6:06,47.95,75,1017,4.6,0
Exeter,City,Tulare,california,36.2961,-119.142,2.53,92,Moderate air quality,pm25,12/1/2018 6:06,53.87,90,1019,1.91,0
Fairfax,Town,Marin,california,37.9871,-122.589,1.96,26,Good air quality,pm25,12/1/2018 6:06,58.55,20,1020,3.1,0.44
Fairfield,City,Solano,california,38.2494,-122.04,1.94,56,Moderate air quality,pm25,12/1/2018 6:06,58.26,1,1019,2.1,1.01
Farmersville,City,Tulare,california,36.2977,-119.207,2.53,96,Moderate air quality,pm25,12/1/2018 6:06,53.92,90,1019,1.91,0
Ferndale,City,Humboldt,california,40.5762,-124.264,1.48,28,Good air quality,o3,12/1/2018 6:06,47.75,75,1017,4.6,0
Fillmore,City,Ventura,california,34.3992,-118.918,2.95,34,Good air quality,pm25,12/1/2018 6:06,62.96,40,1016,3.6,0
Firebaugh,City,Fresno,california,36.8588,-120.456,2.32,80,Moderate air quality,pm25,12/1/2018 6:06,51.33,1,1018,3.36,0
Folsom,City,Sacramento,california,38.678,-121.176,1.89,55,Moderate air quality,pm25,12/1/2018 6:06,52.43,1,1018,3.6,0
Fontana,City,San Bernardino,california,34.0922,-117.435,3.03,70,Moderate air quality,pm25,12/1/2018 6:06,61.92,1,1016,0.53,0
Fort Bragg,City,Mendocino,california,39.4457,-123.805,1.69,30,Good air quality,pm25,12/1/2018 6:06,50,90,1018,1.5,0.25
Fort Jones,City,Siskiyou,california,41.6076,-122.84,1.41,45,Good air quality,pm25,12/1/2018 6:06,41.88,90,1013,2.6,0
Fortuna,City,Humboldt,california,40.5982,-124.157,1.5,29,Good air quality,pm25,12/1/2018 6:06,47.75,75,1017,4.6,0
Foster City,City,San Mateo,california,37.5585,-122.271,2.04,59,Moderate air quality,pm25,12/1/2018 6:06,57.67,1,1020,2.1,1.02
Fountain Valley,City,Orange,california,33.709,-117.954,3.12,60,Moderate air quality,pm25,12/1/2018 6:06,62.94,20,1015,5.33,0
Fowler,City,Fresno,california,36.6305,-119.678,2.44,71,Moderate air quality,pm25,12/1/2018 6:06,53.15,1,1018,1.91,0
Fremont,City,Alameda,california,37.5483,-121.989,2.07,49,Good air quality,pm25,12/1/2018 6:06,56.86,1,1020,2.1,1.02
Fresno,City,Fresno,california,36.7378,-119.787,2.43,89,Moderate air quality,pm25,12/1/2018 6:06,53.17,1,1018,3.91,0
Fullerton,City,Orange,california,33.8704,-117.924,3.04,61,Moderate air quality,pm25,12/1/2018 6:06,62.92,1,1015,5.33,0
Galt,City,Sacramento,california,38.2546,-121.3,1.91,67,Moderate air quality,pm25,12/1/2018 6:06,55.69,1,1019,2.1,1.02
Garden Grove,City,Orange,california,33.7743,-117.938,3.04,59,Moderate air quality,pm25,12/1/2018 6:06,62.92,20,1015,5.33,0
Gardena,City,Los Angeles,california,33.8883,-118.309,3.05,61,Moderate air quality,pm25,12/1/2018 6:06,63.25,1,1015,2.6,0
Gilroy,City,Santa Clara,california,37.0058,-121.568,2.2,49,Good air quality,pm25,12/1/2018 6:06,54.63,40,1020,1.5,0.89
Glendale,City,Los Angeles,california,34.1425,-118.255,2.98,69,Moderate air quality,pm25,12/1/2018 6:06,62.69,1,1015,2.1,0
Glendora,City,Los Angeles,california,34.1361,-117.865,3.02,68,Moderate air quality,pm25,12/1/2018 6:06,62.94,1,1016,0.53,0
Goleta,City,Santa Barbara,california,34.4358,-119.828,2.89,56,Moderate air quality,pm25,12/1/2018 6:06,62.13,1,1018,4.1,0
Gonzales,City,Monterey,california,36.5066,-121.444,2.36,56,Moderate air quality,pm25,12/1/2018 6:06,54.25,1,1020,1.91,0.38
Grand Terrace,City,San Bernardino,california,34.0339,-117.314,3.03,68,Moderate air quality,pm25,12/1/2018 6:06,61.41,1,1016,0.53,0
Grass Valley,City,Nevada,california,39.2191,-121.061,1.85,51,Moderate air quality,pm25,12/1/2018 6:06,52.21,1,1017,3.1,0
Greenfield,City,Monterey,california,36.3208,-121.244,2.46,51,Moderate air quality,pm25,12/1/2018 6:06,53.8,1,1020,1.91,0.51
Gridley,City,Butte,california,39.3638,-121.694,1.74,53,Moderate air quality,pm25,12/1/2018 6:06,53.47,1,1017,3.1,0
Grover Beach,City,San Luis Obispo,california,35.1216,-120.621,2.74,40,Good air quality,pm25,12/1/2018 6:06,58.35,1,1019,1.93,0
Guadalupe,City,Santa Barbara,california,34.9716,-120.572,2.79,21,Good air quality,pm25,12/1/2018 6:06,59.49,1,1019,2.1,0
Gustine,City,Merced,california,37.2577,-120.999,2.17,57,Moderate air quality,pm25,12/1/2018 6:06,52.48,1,1019,2.1,4.32
Half Moon Bay,City,San Mateo,california,37.4636,-122.429,2.1,34,Good air quality,pm25,12/1/2018 6:06,57.6,20,1020,3.1,1.02
Hanford,City,Kings,california,36.3274,-119.646,2.49,81,Moderate air quality,pm25,12/1/2018 6:06,53.4,1,1018,1.91,0
Hawaiian Gardens,City,Los Angeles,california,33.8314,-118.073,3.05,61,Moderate air quality,pm25,12/1/2018 6:06,63.25,20,1015,5.33,0
Hawthorne,City,Los Angeles,california,33.9164,-118.353,3.05,66,Moderate air quality,pm25,12/1/2018 6:06,63.25,1,1015,2.6,0
Hayward,City,Alameda,california,37.6688,-122.081,2.03,59,Moderate air quality,pm25,12/1/2018 6:06,57.88,1,1020,2.1,1.02
Healdsburg,City,Sonoma,california,38.6105,-122.869,1.83,52,Moderate air quality,pm25,12/1/2018 6:06,55.89,1,1019,4.26,0.25
Hemet,City,Riverside,california,33.7475,-116.972,3.24,59,Moderate air quality,pm25,12/1/2018 6:06,61.52,1,1016,0.91,0
Hercules,City,Contra Costa,california,38.0171,-122.289,1.92,33,Good air quality,pm25,12/1/2018 6:06,58.46,1,1020,2.1,0.44
Hermosa Beach,City,Los Angeles,california,33.8622,-118.4,3.05,63,Moderate air quality,pm25,12/1/2018 6:06,63.36,20,1015,3.1,0
Hesperia,City,San Bernardino,california,34.4264,-117.301,3.06,43,Good air quality,o3,12/1/2018 6:06,60.04,40,1016,2.1,0
Hidden Hills,City,Los Angeles,california,34.1603,-118.652,2.98,38,Good air quality,pm25,12/1/2018 6:06,63.41,1,1015,2.1,0
Highland,City,San Bernardino,california,34.1283,-117.209,3.1,57,Moderate air quality,pm25,12/1/2018 6:06,59.77,1,1016,0.71,0
Hillsborough,Town,San Mateo,california,37.5741,-122.379,2.04,32,Good air quality,pm25,12/1/2018 6:06,57.74,20,1020,3.1,1.14
Hollister,City,San Benito,california,36.8525,-121.402,2.26,53,Moderate air quality,pm25,12/1/2018 6:06,54.14,1,1020,1.91,0.38
Holtville,City,Imperial,california,32.8112,-115.38,3.38,104,Unhealthy for sensitive groups air quality,pm25,12/1/2018 6:06,69.64,1,1013,7.2,0
Hughson,City,Stanislaus,california,37.6027,-120.866,2.11,59,Moderate air quality,pm25,12/1/2018 6:06,50.97,1,1019,2.1,2.42
Huntington Beach,City,Orange,california,33.6595,-117.999,3.12,59,Moderate air quality,pm25,12/1/2018 6:06,63.3,20,1015,5.33,0
Huntington Park,City,Los Angeles,california,33.9817,-118.225,3.05,69,Moderate air quality,pm25,12/1/2018 6:06,63.25,1,1015,2.6,0
Huron,City,Fresno,california,36.2027,-120.103,2.52,55,Moderate air quality,pm25,12/1/2018 6:06,54.23,1,1018,2.73,0
Imperial,City,Imperial,california,32.8476,-115.569,3.39,81,Moderate air quality,pm25,12/1/2018 6:06,69.58,1,1013,7.2,0
Imperial Beach,City,San Diego,california,32.5839,-117.113,3.47,92,Moderate air quality,pm25,12/1/2018 6:06,63.41,40,1016,2.6,0
Indian Wells,City,Riverside,california,33.7176,-116.341,3.24,38,Good air quality,o3,12/1/2018 6:06,63.07,40,1014,3.6,0
Indio,City,Riverside,california,33.7206,-116.216,3.13,52,Moderate air quality,pm25,12/1/2018 6:06,63.1,40,1014,3.6,0
Industry,City,Los Angeles,california,34.0197,-117.959,3.02,63,Moderate air quality,pm25,12/1/2018 6:06,62.92,1,1015,1.46,0
Inglewood,City,Los Angeles,california,33.9617,-118.353,3.05,71,Moderate air quality,pm25,12/1/2018 6:06,63.25,1,1015,2.6,0
Ione,City,Amador,california,38.3527,-120.933,1.97,58,Moderate air quality,pm25,12/1/2018 6:06,50.94,1,1018,1.5,0.51
Irvine,City,Orange,california,33.6846,-117.827,3.12,54,Moderate air quality,pm25,12/1/2018 6:06,62.69,1,1016,0.83,0
Irwindale,City,Los Angeles,california,34.107,-117.935,3.02,60,Moderate air quality,pm25,12/1/2018 6:06,62.92,1,1016,1.46,0
Isleton,City,Sacramento,california,38.1619,-121.612,1.94,54,Moderate air quality,pm25,12/1/2018 6:06,57.27,1,1019,2.1,1.53
Jackson,City,Amador,california,38.3488,-120.774,1.97,42,Good air quality,pm25,12/1/2018 6:06,50.25,1,1018,1.5,0.51
Jurupa Valley,City,Riverside,california,33.9972,-117.485,3.08,72,Moderate air quality,pm25,12/1/2018 6:06,62.42,1,1016,0.53,0
Kerman,City,Fresno,california,36.7236,-120.06,2.39,72,Moderate air quality,pm25,12/1/2018 6:06,53.19,1,1018,3.91,0
