city,type,county,state,lat,lng,temperature,cloud,pressure,rain,date,wind_speed,uv_index,aqi,category,dominant_pollutant,date_scraped
Arcadia,City,Los Angeles,california,34.1397,-118.035,54.72,1,1018,0,2018-12-07 16:58:00,3.1,2.53,42,Good air quality,pm25,2018-12-07 08:58:00
Arcata,City,Humboldt,california,40.8665,-124.083,41.0,1,1021,0,2018-12-07 16:55:00,4.1,1.41,31,Good air quality,pm10,2018-12-07 08:58:00
Arroyo Grande,City,San Luis Obispo,california,35.1186,-120.591,49.44,1,1020,0,2018-12-07 16:56:00,1.76,2.39,43,Good air quality,pm25,2018-12-07 08:58:00
Artesia,City,Los Angeles,california,33.8658,-118.083,57.06,1,1018,0,2018-12-07 16:58:00,3.6,2.55,52,Moderate air quality,pm25,2018-12-07 08:58:00
Arvin,City,Kern,california,35.2018,-118.833,45.9,90,1021,0,2018-12-07 16:54:00,2.1,2.39,49,Good air quality,pm25,2018-12-07 08:58:00
Atascadero,City,San Luis Obispo,california,35.4894,-120.671,50.09,1,1021,0,2018-12-07 16:56:00,2.1,2.37,54,Moderate air quality,pm25,2018-12-07 08:58:00
Atherton,Town,San Mateo,california,37.4613,-122.198,47.48,1,1021,0,2018-12-07 16:56:00,1.86,1.94,70,Moderate air quality,pm25,2018-12-07 08:58:00
Atwater,City,Merced,california,37.3477,-120.609,47.53,90,1022,0,2018-12-07 16:53:00,2.01,1.93,71,Moderate air quality,pm25,2018-12-07 08:58:00
Auburn,City,Placer,california,38.8966,-121.077,44.58,1,1022,0,2018-12-07 16:55:00,1.66,1.71,42,Good air quality,pm25,2018-12-07 08:58:00
Avalon,City,Los Angeles,california,33.3428,-118.328,57.72,1,1018,0,2018-12-07 16:58:00,4.1,2.64,28,Good air quality,pm25,2018-12-07 08:58:00
Avenal,City,Kings,california,36.0041,-120.129,48.29,90,1022,0,2018-12-07 17:09:00,1.31,2.19,42,Good air quality,pm25,2018-12-07 08:58:00
Azusa,City,Los Angeles,california,34.1336,-117.908,56.35,1,1018,0,2018-12-07 16:58:00,3.1,2.54,56,Moderate air quality,pm25,2018-12-07 08:58:00
Bakersfield,City,Kern,california,35.3733,-119.019,46.17,90,1021,0,2018-12-07 16:55:00,2.1,2.33,74,Moderate air quality,pm25,2018-12-07 08:58:00
Baldwin Park,City,Los Angeles,california,34.0853,-117.961,56.35,1,1018,0,2018-12-07 16:58:00,3.1,2.54,59,Moderate air quality,pm25,2018-12-07 08:58:00
Banning,City,Riverside,california,33.9256,-116.876,56.12,1,1019,0.25,2018-12-07 16:58:00,5.1,2.6,42,Good air quality,pm25,2018-12-07 08:58:00
Barstow,City,San Bernardino,california,34.8958,-117.017,47.7,90,1022,0,2018-12-07 16:55:00,1.5,2.41,23,Good air quality,pm25,2018-12-07 08:58:00
Beaumont,City,Riverside,california,33.9295,-116.977,55.9,1,1019,0.25,2018-12-07 16:58:00,5.1,2.6,61,Moderate air quality,pm25,2018-12-07 08:58:00
Bell,City,Los Angeles,california,33.9775,-118.187,57.06,1,1018,0,2018-12-07 16:58:00,3.1,2.55,55,Moderate air quality,pm25,2018-12-07 08:58:00
Bell Gardens,City,Los Angeles,california,33.9653,-118.151,57.06,1,1018,0,2018-12-07 16:58:00,3.6,2.55,55,Moderate air quality,pm25,2018-12-07 08:58:00
Bellflower,City,Los Angeles,california,33.8817,-118.117,57.06,1,1018,0,2018-12-07 16:58:00,3.6,2.55,40,Good air quality,pm25,2018-12-07 08:58:00
Belmont,City,San Mateo,california,37.5202,-122.276,47.98,75,1021,0,2018-12-07 16:56:00,1.5,1.88,71,Moderate air quality,pm25,2018-12-07 08:58:00
Belvedere,City,Marin,california,37.8727,-122.464,46.74,75,1021,0,2018-12-07 17:00:00,1.5,1.83,54,Moderate air quality,pm10,2018-12-07 08:58:00
Benicia,City,Solano,california,38.0494,-122.159,45.37,1,1022,0,2018-12-07 16:55:00,1.86,1.79,48,Good air quality,pm10,2018-12-07 08:58:00
Berkeley,City,Alameda,california,37.8716,-122.273,46.13,75,1021,0,2018-12-07 17:00:00,2.6,1.83,72,Moderate air quality,pm25,2018-12-07 08:58:00
Beverly Hills,City,Los Angeles,california,34.0736,-118.4,56.73,1,1018,0,2018-12-07 16:58:00,1.5,2.53,43,Good air quality,pm25,2018-12-07 08:58:00
Big Bear Lake,City,San Bernardino,california,34.2439,-116.911,50.36,1,1019,0,2018-12-07 16:58:00,5.1,2.7,39,Good air quality,pm25,2018-12-07 08:58:00
Biggs,City,Butte,california,39.4124,-121.713,43.03,1,1022,0,2018-12-07 16:55:00,1.5,1.62,48,Good air quality,pm25,2018-12-07 08:58:00
Bishop,City,Inyo,california,37.3614,-118.4,27.32,90,1022,0,2018-12-07 16:55:00,2.6,2.12,55,Moderate air quality,pm25,2018-12-07 08:58:00
Blue Lake,City,Humboldt,california,40.8829,-123.984,41.0,1,1021,0,2018-12-07 16:55:00,4.1,1.42,28,Good air quality,pm25,2018-12-07 08:58:00
Blythe,City,Riverside,california,33.6178,-114.588,53.79,88,1007.31,1.6725,2018-12-07 17:17:37,2.66,2.44,33,Good air quality,pm25,2018-12-07 08:58:00
Bradbury,City,Los Angeles,california,34.1469,-117.971,54.72,1,1018,0,2018-12-07 16:58:00,3.1,2.54,27,Good air quality,pm25,2018-12-07 08:58:00
Brawley,City,Imperial,california,32.9787,-115.53,55.33,75,1020,0,2018-12-07 16:56:00,2.6,2.64,64,Moderate air quality,pm25,2018-12-07 08:58:00
Brea,City,Orange,california,33.9165,-117.9,57.18,1,1018,0,2018-12-07 16:58:00,3.1,2.54,47,Good air quality,pm25,2018-12-07 08:58:00
Brentwood,City,Contra Costa,california,37.9319,-121.696,46.76,1,1022,0,2018-12-07 17:02:00,1.76,1.82,61,Moderate air quality,pm25,2018-12-07 08:58:00
Brisbane,City,San Mateo,california,37.6808,-122.4,47.01,75,1021,0,2018-12-07 17:00:00,1.5,1.88,54,Moderate air quality,pm10,2018-12-07 08:58:00
Buellton,City,Santa Barbara,california,34.6136,-120.193,51.71,75,1019,0,2018-12-07 16:55:00,1.51,2.49,49,Good air quality,pm25,2018-12-07 08:58:00
Buena Park,City,Orange,california,33.8674,-117.998,56.95,1,1018,0,2018-12-07 16:58:00,3.1,2.54,52,Moderate air quality,pm25,2018-12-07 08:58:00
Burlingame,City,San Mateo,california,37.5779,-122.348,48.24,75,1021,0,2018-12-07 17:00:00,1.5,1.88,61,Moderate air quality,pm25,2018-12-07 08:58:00
Calabasas,City,Los Angeles,california,34.1367,-118.661,57.7,1,1018,0,2018-12-07 16:58:00,1.5,2.54,21,Good air quality,o3,2018-12-07 08:58:00
Calexico,City,Imperial,california,32.6789,-115.499,55.33,75,1020,0,2018-12-07 16:56:00,2.6,2.68,66,Moderate air quality,pm25,2018-12-07 08:58:00
California City,City,Kern,california,35.1258,-117.986,44.78,75,1021,0,2018-12-07 16:58:00,1.21,2.41,24,Good air quality,o3,2018-12-07 08:58:00
Calimesa,City,Riverside,california,34.0039,-117.062,53.24,1,1019,0.25,2018-12-07 16:58:00,5.1,2.57,57,Moderate air quality,pm25,2018-12-07 08:58:00
Calipatria,City,Imperial,california,33.1256,-115.514,55.31,75,1020,0,2018-12-07 16:56:00,2.6,2.57,62,Moderate air quality,pm25,2018-12-07 08:58:00
Calistoga,City,Napa,california,38.5788,-122.58,42.87,1,1022,0,2018-12-07 16:58:00,1.51,1.73,51,Moderate air quality,pm25,2018-12-07 08:58:00
Camarillo,City,Ventura,california,34.2164,-119.038,57.07,20,1019,0,2018-12-07 16:57:00,6.2,2.52,57,Moderate air quality,pm25,2018-12-07 08:58:00
Campbell,City,Santa Clara,california,37.2872,-121.95,48.11,75,1021,0,2018-12-07 17:00:00,2.1,1.92,63,Moderate air quality,pm25,2018-12-07 08:58:00
Canyon Lake,City,Riverside,california,33.685,-117.273,58.17,1,1019,0.25,2018-12-07 16:58:00,5.1,2.61,13,Good air quality,o3,2018-12-07 08:58:00
Capitola,City,Santa Cruz,california,36.9752,-121.953,47.05,1,1022,0,2018-12-07 16:56:00,1.51,2.01,66,Moderate air quality,pm25,2018-12-07 08:58:00
Carlsbad,City,San Diego,california,33.1581,-117.351,59.61,75,1018,0.25,2018-12-07 16:56:00,1.5,2.65,54,Moderate air quality,pm25,2018-12-07 08:58:00
Carmel-by-the-Sea,City,Monterey,california,36.5552,-121.923,47.44,1,1021,0,2018-12-07 16:55:00,2.1,2.07,52,Moderate air quality,pm25,2018-12-07 08:58:00
Carpinteria,City,Santa Barbara,california,34.3989,-119.518,55.42,1,1019,0,2018-12-07 16:57:00,1.91,2.52,33,Good air quality,no2,2018-12-07 08:58:00
Carson,City,Los Angeles,california,33.8317,-118.282,57.06,1,1018,0,2018-12-07 16:58:00,3.1,2.56,53,Moderate air quality,pm25,2018-12-07 08:58:00
Cathedral City,City,Riverside,california,33.7805,-116.467,52.03,90,1023,0.25,2018-12-07 16:56:00,2.6,2.51,41,Good air quality,pm25,2018-12-07 08:58:00
Ceres,City,Stanislaus,california,37.5949,-120.958,46.0,90,1022,0,2018-12-07 17:02:00,1.96,1.87,75,Moderate air quality,pm25,2018-12-07 08:58:00
Cerritos,City,Los Angeles,california,33.8583,-118.065,57.06,1,1018,0,2018-12-07 16:58:00,3.6,2.55,50,Good air quality,pm25,2018-12-07 08:58:00
Chico,City,Butte,california,39.7285,-121.837,42.51,1,1022,0,2018-12-07 16:54:00,1.5,1.58,66,Moderate air quality,pm25,2018-12-07 08:58:00
Chino,City,San Bernardino,california,34.0122,-117.689,57.18,1,1018,0,2018-12-07 16:58:00,3.1,2.56,49,Good air quality,pm25,2018-12-07 08:58:00
Chino Hills,City,San Bernardino,california,33.9898,-117.733,57.18,1,1018,0,2018-12-07 16:58:00,3.1,2.56,22,Good air quality,pm25,2018-12-07 08:58:00
Chowchilla,City,Madera,california,37.123,-120.26,48.87,90,1022,0,2018-12-07 17:00:00,1.86,1.98,60,Moderate air quality,pm25,2018-12-07 08:58:00
Chula Vista,City,San Diego,california,32.6401,-117.084,60.6,75,1018,0,2018-12-07 16:56:00,1.5,2.74,61,Moderate air quality,pm25,2018-12-07 08:58:00
Citrus Heights,City,Sacramento,california,38.7071,-121.281,44.62,75,1022,0,2018-12-07 16:55:00,2.1,1.71,54,Moderate air quality,pm25,2018-12-07 08:58:00
Claremont,City,Los Angeles,california,34.0967,-117.72,56.35,1,1018,0,2018-12-07 16:58:00,3.1,2.56,54,Moderate air quality,pm25,2018-12-07 08:58:00
Clayton,City,Contra Costa,california,37.941,-121.936,46.63,1,1022,0,2018-12-07 17:02:00,1.76,1.84,37,Good air quality,pm10,2018-12-07 08:58:00
Clearlake,City,Lake,california,38.9582,-122.626,39.02,90,1023,0,2018-12-07 17:13:00,1.71,1.71,48,Good air quality,pm25,2018-12-07 08:58:00
Cloverdale,City,Sonoma,california,38.8055,-123.017,39.02,90,1023,0,2018-12-07 17:13:00,1.26,1.69,64,Moderate air quality,pm25,2018-12-07 08:58:00
Clovis,City,Fresno,california,36.8252,-119.703,49.57,90,1022,0,2018-12-07 17:09:00,1.96,2.06,62,Moderate air quality,pm25,2018-12-07 08:58:00
Coachella,City,Riverside,california,33.6803,-116.174,50.41,90,1023,0,2018-12-07 16:56:00,2.6,2.5,30,Good air quality,pm25,2018-12-07 08:58:00
Coalinga,City,Fresno,california,36.1397,-120.36,48.31,90,1022,0,2018-12-07 17:09:00,2.1,2.21,41,Good air quality,pm25,2018-12-07 08:58:00
Colfax,City,Placer,california,39.1007,-120.953,44.47,1,1021,0,2018-12-07 16:55:00,1.66,1.73,43,Good air quality,pm25,2018-12-07 08:58:00
Colma,Town,San Mateo,california,37.6769,-122.46,47.23,75,1021,0,2018-12-07 17:00:00,1.5,1.88,60,Moderate air quality,pm10,2018-12-07 08:58:00
Colton,City,San Bernardino,california,34.0739,-117.314,55.78,1,1019,0.25,2018-12-07 16:58:00,5.1,2.53,51,Moderate air quality,pm25,2018-12-07 08:58:00
Colusa,City,Colusa,california,39.2143,-122.009,42.35,1,1022,0,2018-12-07 16:53:00,2.71,1.63,57,Moderate air quality,pm25,2018-12-07 08:58:00
Commerce,City,Los Angeles,california,34.0006,-118.16,57.69,1,1018,0,2018-12-07 16:58:00,3.6,2.53,53,Moderate air quality,pm25,2018-12-07 08:58:00
Compton,City,Los Angeles,california,33.8958,-118.22,57.06,1,1018,0,2018-12-07 16:58:00,3.1,2.55,58,Moderate air quality,pm25,2018-12-07 08:58:00
Concord,City,Contra Costa,california,37.978,-122.031,46.9,1,1022,0,2018-12-07 17:00:00,1.76,1.84,64,Moderate air quality,pm25,2018-12-07 08:58:00
Corcoran,City,Kings,california,36.098,-119.56,48.42,90,1022,0.25,2018-12-07 17:09:00,1.21,2.19,76,Moderate air quality,pm25,2018-12-07 08:58:00
Corning,City,Tehama,california,39.9277,-122.179,41.65,1,1022,0,2018-12-07 16:54:00,3.6,1.54,44,Good air quality,pm25,2018-12-07 08:58:00
Corona,City,Riverside,california,33.8753,-117.566,57.65,1,1019,0.25,2018-12-07 16:58:00,5.1,2.56,42,Good air quality,pm25,2018-12-07 08:58:00
Coronado,City,San Diego,california,32.6859,-117.183,60.37,40,1018,0,2018-12-07 16:56:00,1.41,2.74,57,Moderate air quality,pm25,2018-12-07 08:58:00
Corte Madera,Town,Marin,california,37.9255,-122.527,46.81,1,1022,0,2018-12-07 17:00:00,1.86,1.83,55,Moderate air quality,pm10,2018-12-07 08:58:00
Costa Mesa,City,Orange,california,33.6412,-117.919,57.11,20,1018,0,2018-12-07 16:58:00,1.5,2.57,51,Moderate air quality,pm25,2018-12-07 08:58:00
Cotati,City,Sonoma,california,38.3293,-122.71,43.29,1,1022,0,2018-12-07 16:58:00,2.41,1.76,59,Moderate air quality,pm25,2018-12-07 08:58:00
Covina,City,Los Angeles,california,34.09,-117.89,56.35,1,1018,0,2018-12-07 16:58:00,3.1,2.54,52,Moderate air quality,pm25,2018-12-07 08:58:00
Crescent City,City,Del Norte,california,41.7557,-124.203,44.47,90,1020,0,2018-12-07 16:56:00,2.6,1.27,61,Moderate air quality,pm25,2018-12-07 08:58:00
Cudahy,City,Los Angeles,california,33.9606,-118.185,57.36,1,1018,0,2018-12-07 16:58:00,3.1,2.55,54,Moderate air quality,pm25,2018-12-07 08:58:00
Culver City,City,Los Angeles,california,34.0211,-118.396,57.4,1,1018,0,2018-12-07 16:58:00,3.1,2.53,56,Moderate air quality,pm25,2018-12-07 08:58:00
Cupertino,City,Santa Clara,california,37.323,-122.032,48.24,1,1021,0,2018-12-07 17:00:00,1.51,1.94,64,Moderate air quality,pm25,2018-12-07 08:58:00
Cypress,City,Orange,california,33.8169,-118.037,57.36,1,1018,0,2018-12-07 16:58:00,3.6,2.55,39,Good air quality,no2,2018-12-07 08:58:00
Daly City,City,San Mateo,california,37.6879,-122.47,47.23,75,1021,0,2018-12-07 17:00:00,1.5,1.88,64,Moderate air quality,pm25,2018-12-07 08:58:00
Dana Point,City,Orange,california,33.4672,-117.698,57.45,20,1018,0.25,2018-12-07 16:58:00,1.5,2.6,50,Good air quality,pm25,2018-12-07 08:58:00
Danville,Town,Contra Costa,california,37.8216,-122.0,46.98,1,1021,0,2018-12-07 17:02:00,1.5,1.84,56,Moderate air quality,pm25,2018-12-07 08:58:00
Davis,City,Yolo,california,38.5449,-121.741,43.47,1,1022,0,2018-12-07 16:58:00,1.5,1.71,59,Moderate air quality,pm25,2018-12-07 08:58:00
Del Mar,City,San Diego,california,32.9595,-117.265,59.65,40,1018,0.25,2018-12-07 16:56:00,1.86,2.73,35,Good air quality,pm25,2018-12-07 08:58:00
Del Rey Oaks,City,Monterey,california,36.5933,-121.835,47.44,1,1021,0,2018-12-07 16:55:00,2.1,2.07,25,Good air quality,pm25,2018-12-07 08:58:00
Delano,City,Kern,california,35.7688,-119.247,48.4,90,1021,0.25,2018-12-07 17:09:00,1.21,2.23,63,Moderate air quality,pm25,2018-12-07 08:58:00
Desert Hot Springs,City,Riverside,california,33.9611,-116.502,48.92,90,1023,0,2018-12-07 16:56:00,2.6,2.59,54,Moderate air quality,pm25,2018-12-07 08:58:00
Diamond Bar,City,Los Angeles,california,34.0286,-117.81,57.18,1,1018,0,2018-12-07 16:58:00,3.1,2.54,57,Moderate air quality,pm25,2018-12-07 08:58:00
Dinuba,City,Tulare,california,36.5433,-119.387,49.57,90,1022,0.25,2018-12-07 17:09:00,1.46,2.1,64,Moderate air quality,pm25,2018-12-07 08:58:00
Dixon,City,Solano,california,38.4455,-121.823,43.39,1,1022,0,2018-12-07 16:58:00,1.5,1.74,55,Moderate air quality,pm25,2018-12-07 08:58:00
Dorris,City,Siskiyou,california,41.9674,-121.918,17.89,20,1022,0,2018-12-07 16:53:00,1.51,1.37,58,Moderate air quality,pm25,2018-12-07 08:58:00
Dos Palos,City,Merced,california,36.9861,-120.627,47.73,90,1022,0,2018-12-07 16:53:00,2.01,2.02,57,Moderate air quality,pm25,2018-12-07 08:58:00
Downey,City,Los Angeles,california,33.9401,-118.133,57.36,1,1018,0,2018-12-07 16:58:00,3.6,2.55,54,Moderate air quality,pm25,2018-12-07 08:58:00
Duarte,City,Los Angeles,california,34.1395,-117.977,56.71,1,1018,0,2018-12-07 16:58:00,3.1,2.54,54,Moderate air quality,pm25,2018-12-07 08:58:00
Dublin,City,Alameda,california,37.7022,-121.936,47.93,1,1021,0,2018-12-07 17:02:00,1.76,1.88,58,Moderate air quality,pm25,2018-12-07 08:58:00
Dunsmuir,City,Siskiyou,california,41.2082,-122.272,27.63,1,1021,0,2018-12-07 16:56:00,1.01,1.46,66,Moderate air quality,pm25,2018-12-07 08:58:00
East Palo Alto,City,San Mateo,california,37.4688,-122.141,47.48,1,1021,0,2018-12-07 16:56:00,1.86,1.94,71,Moderate air quality,pm25,2018-12-07 08:58:00
Eastvale,City,Riverside,california,33.9525,-117.585,58.01,1,1019,0.25,2018-12-07 16:58:00,5.1,2.56,26,Good air quality,pm25,2018-12-07 08:58:00
El Cajon,City,San Diego,california,32.7948,-116.963,59.49,40,1018,0,2018-12-07 16:56:00,1.86,2.73,56,Moderate air quality,pm25,2018-12-07 08:58:00
El Centro,City,Imperial,california,32.792,-115.563,55.35,75,1020,0,2018-12-07 16:56:00,2.6,2.64,44,Good air quality,pm25,2018-12-07 08:58:00
El Cerrito,City,Contra Costa,california,37.9161,-122.311,46.72,75,1021,0,2018-12-07 17:00:00,2.6,1.83,65,Moderate air quality,pm25,2018-12-07 08:58:00
El Monte,City,Los Angeles,california,34.0686,-118.028,56.41,1,1018,0,2018-12-07 16:58:00,3.1,2.53,61,Moderate air quality,pm25,2018-12-07 08:58:00
El Segundo,City,Los Angeles,california,33.9192,-118.416,57.7,1,1018,0,2018-12-07 16:58:00,3.1,2.56,55,Moderate air quality,pm25,2018-12-07 08:58:00
Elk Grove,City,Sacramento,california,38.4088,-121.372,44.65,1,1022,0,2018-12-07 17:02:00,1.16,1.74,60,Moderate air quality,pm25,2018-12-07 08:58:00
Emeryville,City,Alameda,california,37.8313,-122.285,46.89,75,1021,0,2018-12-07 17:00:00,2.6,1.83,59,Moderate air quality,pm10,2018-12-07 08:58:00
Encinitas,City,San Diego,california,33.037,-117.292,59.67,75,1018,0.25,2018-12-07 16:56:00,1.5,2.65,44,Good air quality,pm25,2018-12-07 08:58:00
Escalon,City,San Joaquin,california,37.7974,-120.997,46.09,90,1022,0,2018-12-07 17:02:00,1.96,1.83,78,Moderate air quality,pm25,2018-12-07 08:58:00
Escondido,City,San Diego,california,33.1192,-117.086,59.67,75,1018,0.25,2018-12-07 16:56:00,1.5,2.67,52,Moderate air quality,pm25,2018-12-07 08:58:00
Etna,City,Siskiyou,california,41.4568,-122.895,27.7,1,1021,0,2018-12-07 16:56:00,0.86,1.42,53,Moderate air quality,pm25,2018-12-07 08:58:00
Eureka,City,Humboldt,california,40.8021,-124.164,41.0,1,1021,0,2018-12-07 16:55:00,4.1,1.41,55,Moderate air quality,pm25,2018-12-07 08:58:00
Exeter,City,Tulare,california,36.2961,-119.142,48.7,90,1022,0.25,2018-12-07 17:09:00,1.46,2.15,66,Moderate air quality,pm25,2018-12-07 08:58:00
Fairfax,Town,Marin,california,37.9871,-122.589,46.78,1,1022,0,2018-12-07 17:00:00,1.86,1.83,50,Good air quality,pm10,2018-12-07 08:58:00
Fairfield,City,Solano,california,38.2494,-122.04,44.56,1,1022,0,2018-12-07 16:58:00,2.21,1.79,51,Moderate air quality,pm25,2018-12-07 08:58:00
Farmersville,City,Tulare,california,36.2977,-119.207,48.79,90,1022,0.25,2018-12-07 17:09:00,1.46,2.15,67,Moderate air quality,pm25,2018-12-07 08:58:00
Ferndale,City,Humboldt,california,40.5762,-124.264,41.0,1,1021,0,2018-12-07 16:55:00,4.1,1.42,27,Good air quality,pm25,2018-12-07 08:58:00
Fillmore,City,Ventura,california,34.3992,-118.918,57.11,20,1019,0,2018-12-07 16:57:00,6.2,2.53,21,Good air quality,pm25,2018-12-07 08:58:00
Firebaugh,City,Fresno,california,36.8588,-120.456,48.85,90,1022,0,2018-12-07 17:00:00,1.66,2.02,72,Moderate air quality,pm25,2018-12-07 08:58:00
Folsom,City,Sacramento,california,38.678,-121.176,44.58,75,1022,0,2018-12-07 16:55:00,1.16,1.73,67,Moderate air quality,pm25,2018-12-07 08:58:00
Fontana,City,San Bernardino,california,34.0922,-117.435,58.24,1,1019,0.25,2018-12-07 16:58:00,5.1,2.53,54,Moderate air quality,pm25,2018-12-07 08:58:00
Fort Bragg,City,Mendocino,california,39.4457,-123.805,39.02,90,1023,0,2018-12-07 17:13:00,1.31,1.6,56,Moderate air quality,pm25,2018-12-07 08:58:00
Fort Jones,City,Siskiyou,california,41.6076,-122.84,25.57,20,1022,0,2018-12-07 16:56:00,0.86,1.37,53,Moderate air quality,pm25,2018-12-07 08:58:00
Fortuna,City,Humboldt,california,40.5982,-124.157,41.0,1,1021,0,2018-12-07 16:55:00,4.1,1.43,49,Good air quality,pm25,2018-12-07 08:58:00
Foster City,City,San Mateo,california,37.5585,-122.271,48.24,75,1021,0,2018-12-07 17:00:00,1.5,1.88,67,Moderate air quality,pm25,2018-12-07 08:58:00
Fountain Valley,City,Orange,california,33.709,-117.954,57.22,1,1018,0,2018-12-07 16:58:00,3.6,2.57,54,Moderate air quality,no2,2018-12-07 08:58:00
Fowler,City,Fresno,california,36.6305,-119.678,49.57,90,1022,0,2018-12-07 17:09:00,1.46,2.1,63,Moderate air quality,pm25,2018-12-07 08:58:00
Fremont,City,Alameda,california,37.5483,-121.989,48.4,1,1021,0,2018-12-07 17:00:00,1.76,1.88,61,Moderate air quality,pm25,2018-12-07 08:58:00
Fresno,City,Fresno,california,36.7378,-119.787,49.57,90,1022,0,2018-12-07 17:09:00,1.96,2.1,84,Moderate air quality,pm25,2018-12-07 08:58:00
Fullerton,City,Orange,california,33.8704,-117.924,57.22,1,1018,0,2018-12-07 16:58:00,3.1,2.54,51,Moderate air quality,pm25,2018-12-07 08:58:00
Galt,City,Sacramento,california,38.2546,-121.3,43.95,90,1022,0,2018-12-07 17:02:00,1.16,1.74,66,Moderate air quality,pm25,2018-12-07 08:58:00
Garden Grove,City,Orange,california,33.7743,-117.938,57.22,1,1018,0,2018-12-07 16:58:00,3.6,2.54,48,Good air quality,pm25,2018-12-07 08:58:00
Gardena,City,Los Angeles,california,33.8883,-118.309,57.38,1,1018,0,2018-12-07 16:58:00,3.1,2.56,56,Moderate air quality,pm25,2018-12-07 08:58:00
Gilroy,City,Santa Clara,california,37.0058,-121.568,48.16,1,1022,0,2018-12-07 16:56:00,1.51,1.99,57,Moderate air quality,pm25,2018-12-07 08:58:00
Glendale,City,Los Angeles,california,34.1425,-118.255,55.2,1,1018,0,2018-12-07 17:10:00,1.5,2.53,57,Moderate air quality,pm25,2018-12-07 08:58:00
Glendora,City,Los Angeles,california,34.1361,-117.865,57.51,1,1018,0,2018-12-07 16:58:00,3.1,2.54,59,Moderate air quality,pm25,2018-12-07 08:58:00
Goleta,City,Santa Barbara,california,34.4358,-119.828,53.69,1,1019,0,2018-12-07 16:53:00,0.46,2.49,51,Moderate air quality,pm25,2018-12-07 08:58:00
Gonzales,City,Monterey,california,36.5066,-121.444,48.56,1,1021,0,2018-12-07 16:55:00,5.1,2.1,59,Moderate air quality,pm25,2018-12-07 08:58:00
Grand Terrace,City,San Bernardino,california,34.0339,-117.314,55.76,1,1019,0.25,2018-12-07 16:58:00,5.1,2.53,47,Good air quality,pm25,2018-12-07 08:58:00
Grass Valley,City,Nevada,california,39.2191,-121.061,44.29,1,1021,0,2018-12-07 16:55:00,1.66,1.7,57,Moderate air quality,pm25,2018-12-07 08:58:00
Greenfield,City,Monterey,california,36.3208,-121.244,49.46,1,1021,0,2018-12-07 16:55:00,5.1,2.17,57,Moderate air quality,pm25,2018-12-07 08:58:00
Gridley,City,Butte,california,39.3638,-121.694,43.93,1,1022,0,2018-12-07 16:55:00,1.5,1.62,51,Moderate air quality,pm25,2018-12-07 08:58:00
Grover Beach,City,San Luis Obispo,california,35.1216,-120.621,50.54,1,1020,0,2018-12-07 16:56:00,1.76,2.39,39,Good air quality,pm25,2018-12-07 08:58:00
